,artista,listeners,playcount,biografia,artistas_similares
705,Sole,194865,3711127,"There are at least two artists with the name of Sole: (1)  Sole (Tim Holland), an American underground hip hop artist from Portland, and (2) SOLE (Lee So-ri) a South Korean singer-songwriter and producer.

1.  Sole, born Tim Holland, is an alternative hip hop artist and a co-founder of the anticon. collective. Sole is known for his dense, often dark stream-of-consciousness writing style. His verses are often filled with abstraction, metaphor and sarcasm while avoiding or deconstructing traditional hip hop topics. <a href=""https://www.last.fm/music/Sole"">Read more on Last.fm</a>","['Cosmic Boy', 'Sage Francis', 'PENOMECO', 'punchnello']"
706,J. Rawls,125345,953070,"Known in the independent rap world for his production skills, J. Rawls has worked with everyone from Masta Ace, The Beastie Boys, Wordsworth, Black Star and J Sands (who he works with as one half of Ohio's underground hip-hop group Lone Catalysts). With his earliest recollection of hip-hop from movies such as ""Wild Style"" and ""Beat Street"" and influenced by Madlib, Pete Rock and Jay Dee he has always produced and made music he has loved. In 2001 he released his solo debut called ""The Essence of J. <a href=""https://www.last.fm/music/J.+Rawls"">Read more on Last.fm</a>","['Jazz Liberatorz', 'Bugseed', 'Dela', 'DJ Mitsu the Beats']"
707,Rae Khalil,52243,357979," <a href=""https://www.last.fm/music/Rae+Khalil"">Read more on Last.fm</a>",[]
708,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
709,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
710,OhGeesy,162144,2659181," <a href=""https://www.last.fm/music/OhGeesy"">Read more on Last.fm</a>","['Shoreline Mafia', 'FENIX FLEXIN', 'Rucci', 'Drakeo The Ruler']"
711,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
712,Marsha Ambrosius,138563,1078250,"Already proven as a talented, sought after songwriter and revered platinum-selling artist, Marsha Ambrosius is meeting the next challenge in her already impressive musical career by reinventing herself as a solo artist with her J Records debut disc LATE NIGHTS & EARLY MORNINGS.

Hailing from Liverpool, England, fans first got a taste of Marsha’s talent as the singing half of the duo Floetry. Their 2000 debut Floetic produced signature singles like “Say Yes"" and ""Getting Late"" as well as four Grammy nods. <a href=""https://www.last.fm/music/Marsha+Ambrosius"">Read more on Last.fm</a>","['Ledisi', 'Lalah Hathaway', 'Raheem DeVaughn', 'Vivian Green']"
713,Group Home,169560,1572941,"Group Home is a Hip Hop duo, consisting of members Lil' Dap and Melachi the Nutcracker. They came to prominence as members of the Gang Starr Foundation, along with Gang Starr members DJ Premier & Guru, and MC's Afu Ra, Bahamadia, Big Shug and Jeru The Damaja. Lil' Dap made his rhyming debut on Gang Starr's 1992 classic Daily Operation, on the song ""I'm The Man"". Both members appeared on Gang Starr's critically acclaimed 1994 effort Hard to Earn, on the tracks ""Speak Ya Clout"" and ""Words From The Nutcracker"". <a href=""https://www.last.fm/music/Group+Home"">Read more on Last.fm</a>","['Jeru the Damaja', 'Smif-n-Wessun', 'Black Moon', 'Erick Sermon']"
714,Armani White,390396,3570774,"Enoch Armani Tolbert (born September 25, 1996),  known professionally as Armani White, is an American rapper.

White has been surrounded during his childhood by a family that played music which drew his attention towards music. He started rapping in the second grade. He attended Delaware State University. <a href=""https://www.last.fm/music/Armani+White"">Read more on Last.fm</a>","['Dreamville', 'IDK', 'Connor Price', 'Cordae']"
715,Saweetie,963448,16461879,"Diamonté Quiava Valentin Harper, known professionally as Saweetie, is an American rapper. After the release of her debut single ""Icy Grl"" in 2018, she was signed to her then-manager Max Gousse's record label Artistry Worldwide, a subsidiary of Warner Records.

Saweetie released her debut EP, High Maintenance, in 2018. Her second EP, Icy, was released in March 2019 and spawned the top-40 single ""My Type"".

In 2021, she received two nominations for the 64th Annual Grammy Awards including one for Best New Artist. <a href=""https://www.last.fm/music/Saweetie"">Read more on Last.fm</a>","['City Girls', 'Latto', 'Kash Doll', 'Rubi Rose']"
716,Post Malone,2814624,250164526,"Austin Richard Post (born July 4, 1995), known professionally as Post Malone, is an American rapper, singer, songwriter, and record producer. Known for his variegated vocals, Malone has gained acclaim for blending genres and subgenres of hip-hop, pop, R&B, and trap. His stage name was derived from inputting his birth name into a rap name generator

Malone began his music career in 2011 and gained recognition with his 2015 debut single ""White Iverson"", which peaked at number 14 on the US Billboard Hot 100. <a href=""https://www.last.fm/music/Post+Malone"">Read more on Last.fm</a>","['Tyla Yaweh', 'The Kid LAROI', 'Post Malone & Swae Lee', 'Jack Harlow']"
717,Hip Hop Lofi,1417,17946," <a href=""https://www.last.fm/music/Hip+Hop+Lofi"">Read more on Last.fm</a>","['Lo-Fi for Studying', 'SlowFi Beats', 'Beats Instrumental Lofi', 'Lofi Beats & Rap Beats']"
718,Kevin Gates,572442,11707711,"Kevin Gilyard (born February 5, 1986), better known by his stage name Kevin Gates, is an American rapper and singer from Baton Rouge, Louisiana. In 2013, it was announced that Gates signed to Young Money Entertainment.
Kevin Gates first began rapping in 2007, when he began making music with fellow Louisiana natives such as Webbie and Lil Boosie. Gates first received attention with his 2008 single ""Get in the Way"" featuring Lil Boosie. Soon after, he and Boosie would be incarcerated in separate cases. <a href=""https://www.last.fm/music/Kevin+Gates"">Read more on Last.fm</a>","['Boosie Badazz', 'Moneybagg Yo', 'Mo3', 'YFN Lucci']"
719,Acclimate Hip Hop,76,238," <a href=""https://www.last.fm/music/Acclimate+Hip+Hop"">Read more on Last.fm</a>",['Victor Perry']
720,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
721,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
722,Aka Saint Dior,16,22," <a href=""https://www.last.fm/music/Aka+Saint+Dior"">Read more on Last.fm</a>",[]
723,Finesse2tymes,67444,467941," <a href=""https://www.last.fm/music/Finesse2tymes"">Read more on Last.fm</a>","['Big Boogie', 'BigWalkDog', 'Moneybagg Yo', 'Yo Gotti']"
724,Jason Derulo,1357902,20553190,"This is an incorrect tag for Jason Derülo. If you have last.fm Autocorrection turned on, your scrobbles will automatically redirect to the correct artist name. Otherwise, please fix your artist ID3 tags. <a href=""https://www.last.fm/music/+noredirect/Jason+Derulo"">Read more on Last.fm</a>",[]
725,Urbanlegends,121,3025," <a href=""https://www.last.fm/music/Urbanlegends"">Read more on Last.fm</a>","['NJUMETA', 'Swa Tix', 'zappp', 'Emmanuel Chidozie']"
726,Hip-Oh!,17,120," <a href=""https://www.last.fm/music/Hip-Oh%21"">Read more on Last.fm</a>",['Goodfires']
727,Juice WRLD,1876700,365285645,"Jarad Anthony Higgins (born December 2nd, 1998; died December 8th, 2019), known professionally as Juice WRLD, was an American hip-hop musician from Chicago, Illinois. He was primarily known for his breakout hits, ""All Girls Are The Same"" and ""Lucid Dreams"", the latter of which peaked at number #2 on the Billboard Hot 100. The album enjoyed positive critical reception, and contained three other singles: ""Armed and Dangerous"", ""Lean Wit Me"" and ""Wasted (feat. <a href=""https://www.last.fm/music/Juice+WRLD"">Read more on Last.fm</a>","['Trippie Redd', 'The Kid LAROI', 'Future & Juice WRLD', 'Lil Uzi Vert']"
728,Baby Tate,437200,4561040,"1) Tate Sequoya Farris (born May 13, 1996, Georgia) is an American singer, rapper, songwriter and record producer, known professionally as Baby Tate (formerly known as Yung Baby Tate)

Baby Tate released the EP ROYGBIV in November 2015 and the Christmas-themed EP YBTXMAS in December 2016. In early 2019, she released a short film produced in conjunction with her upcoming album. Her debut full-length album GIRLS was released in February 2019 to positive reviews. XXL named the album as one of the best hip-hop projects of 2019. <a href=""https://www.last.fm/music/Baby+Tate"">Read more on Last.fm</a>","['Flo Milli', 'Bree Runway', 'Rico Nasty', 'City Girls']"
729,OHTORA,5530,29740," <a href=""https://www.last.fm/music/OHTORA"">Read more on Last.fm</a>","['SARA-J', 'maco marets', 'HENTAI SHINSHI CLUB', 'Boku no Lyric no Boyomi']"
730,DJ Muggs,150333,2148266,"Muggs (born: Lawrence Muggerud), also called DJ Muggs, started out in the short-lived rap group The 7A3 before helping found what would become one of the most respected and popular rap groups of all time: Cypress Hill. Cypress Hill have now released seven studio albums and a lot of singles, a few EP's, and even a live album. But Muggs' career is not limited only to his rap group, he is one of the main people behind the Soul Assassins albums that feature some of the best rappers in the world <a href=""https://www.last.fm/music/DJ+Muggs"">Read more on Last.fm</a>","['Meyhem Lauren', 'CRIMEAPPLE', 'Conway the Machine', 'Roc Marciano']"
731,Turbo,210557,4410872,"There are multiple artists using this name:

1. Turbo is a Polish metal band. It was started in January 1980 by Henryk Tomczak (formerly in Stress and Heam, both pioneering Polish hard rock groups). The first line-up were formed by Wojciech Hoffmann – guitar, Wojciech Anioła – drums and Wojciech Sowula – vocals. Soon a single was released, the tracks being W środku tej nocy (Deep in the Night) and Byłem z tobą tyle lat (So many years with you). <a href=""https://www.last.fm/music/Turbo"">Read more on Last.fm</a>","['TSA', 'Kat', 'Acid Drinkers', 'Kat & Roman Kostrzewski']"
732,Sueco,277375,11441984,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>","['MOD SUN', 'Machine Gun Kelly', 'Magnolia Park', 'jxdn']"
733,Urbanlegends,121,3025," <a href=""https://www.last.fm/music/Urbanlegends"">Read more on Last.fm</a>","['NJUMETA', 'Swa Tix', 'zappp', 'Emmanuel Chidozie']"
734,Juice WRLD,1876700,365285645,"Jarad Anthony Higgins (born December 2nd, 1998; died December 8th, 2019), known professionally as Juice WRLD, was an American hip-hop musician from Chicago, Illinois. He was primarily known for his breakout hits, ""All Girls Are The Same"" and ""Lucid Dreams"", the latter of which peaked at number #2 on the Billboard Hot 100. The album enjoyed positive critical reception, and contained three other singles: ""Armed and Dangerous"", ""Lean Wit Me"" and ""Wasted (feat. <a href=""https://www.last.fm/music/Juice+WRLD"">Read more on Last.fm</a>","['Trippie Redd', 'The Kid LAROI', 'Future & Juice WRLD', 'Lil Uzi Vert']"
735,Lental,976,1919," <a href=""https://www.last.fm/music/Lental"">Read more on Last.fm</a>","['Dustin Warbear', 'Kvng Moses', 'Jehry Robinson', 'Statik G']"
736,Jaypitts,24151,158417," <a href=""https://www.last.fm/music/Jaypitts"">Read more on Last.fm</a>","['Enframe', 'King Green', 'Kateel', 'Jean Carter']"
737,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
738,Nicki Minaj,4032679,238537475,"Onika Tanya Maraj-Petty, born December 8th, 1982, is known professionally as Nicki Minaj. Minaj is a Trinidadian-born rapper and singer based in the United States of America. Nicki Minaj is most recognized for her musical versatility, alter egos, and the animated flow of her raps. She first gained underground attention after releasing her debut mixtape, Playtime Is Over. Nicki later released two more mixtapes before her debut album, Sucka Free and Beam Me Up Scotty. <a href=""https://www.last.fm/music/Nicki+Minaj"">Read more on Last.fm</a>","['Young Money', 'City Girls', 'London On Da Track', 'JT']"
739,Playboi Carti,1757281,444480897,"Jordan Terrell Carter (born September 13, 1995), popularly known as Playboi Carti, is an American rapper, performer and singer from Atlanta, Georgia. His eponymous debut mixtape was released on April 14, 2017. He originally went by the moniker Sir Cartier (stylized as $ir Cartier) when he embarked on his music career in 2011.

He originally started rapping as  Sir Cartier, releasing a mixtape titled THC: THE HIGH CHRONICAL$ on November 5, 2011, that has since been deleted from the Internet, because it was absolute balls. <a href=""https://www.last.fm/music/Playboi+Carti"">Read more on Last.fm</a>","['Ken Carson', 'Destroy Lonely', 'Lil Uzi Vert', 'Homixide Gang']"
740,Cordae,625959,17006290,"Cordae Amari Dunston (born August 26, 1997), known mononymously as Cordae (formerly known as YBN Cordae and Entendre is an American rapper, singer, and songwriter. 

Dunston gained popularity by releasing remixes of popular songs, such as ""My Name Is"" by Eminem, and ""Old N***as"" which was a response to the song ""1985"" by J. Cole. Videos to both remixes were uploaded to the WorldStarHipHop's YouTube channel, which led to an immense and immediate positive response from both mainstream media and the online rap community. <a href=""https://www.last.fm/music/Cordae"">Read more on Last.fm</a>","['EARTHGANG', 'JID', 'Dreamville', 'Bas']"
741,dkj,162531,1322265,"Producer from Philadelphia <a href=""https://www.last.fm/music/dkj"">Read more on Last.fm</a>","['ta2cute', 'Adrian', 'paulie leparik', 'Cash!*']"
742,DJ Krush,647719,13854057,"DJ Krush (Hideaki Ishi) was born in 1962 in Tokyo. Gifted producer & DJ with a superb sense in mixing and composing his sound who's been greatly received in the international club scene. At an early age, Ishii dropped out of school, and joined a local gang, and a few years later, Yakuza. It was the movie ""Wild Style"" that got him into hip hop in the early 80's, and in 1987, he formed Krush Posse which made numerous appearances in various media as the best hip hop act in Japan. <a href=""https://www.last.fm/music/DJ+Krush"">Read more on Last.fm</a>","['DJ Krush & Toshinori Kondo', 'DJ Cam', 'The Herbaliser', 'DJ Food']"
743,Real Hip Hop Is Over Here,6,12," <a href=""https://www.last.fm/music/Real+Hip+Hop+Is+Over+Here"">Read more on Last.fm</a>",[]
744,Flowdan,77855,575247,"Flowdan (also spelled Flow Dan, real name Mark Viera) is an MC from East London. He is one of the founding and longest serving members of the Roll Deep crew, after joining from UK garage collective Pay As You Go, and is also a part of the collective Cemetary Warriors.

Flow Dan started as a jungle MC in the late nineties before starting Roll Deep with Wiley. While at Roll Deep he has featured on all the main singles and featured on all three major CD releases: Rules & Regulations <a href=""https://www.last.fm/music/Flowdan"">Read more on Last.fm</a>","['Frisco', 'Wiley', 'D Double E', 'Coki']"
745,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
746,Jimothy Lacoste,27912,291061,"Timothy Gonzales, previously known as Jimothy Lacoste and subsequently by his stage name, Jimothy, is a rapper and musician from Camden, North London, associated with the bedroom pop and DIY genres

 <a href=""https://www.last.fm/music/Jimothy+Lacoste"">Read more on Last.fm</a>","['jimothy', 'leyma', 'Jesse James Solomon', 'OSQUELLO']"
747,Gang Starr,1368737,29320206,"Gang Starr was an influential American hip-hop duo, composed of late rapper Guru (Backronym for Gifted Unlimited Rhymes Universal, real name Keith Elam) and DJ Premier (real name Chris Martin). Premier originally from Houston and Guru from Boston, but they were based in and represented Brooklyn, New York, epitomizing the New York City hip-hop sound. The entirety of Gang Starr's catalog, especially Step In The Arena (1991) ,Daily Operation (1992), and Hard To Earn (1994) are well-respected among critics and hip-hop heads alike. <a href=""https://www.last.fm/music/Gang+Starr"">Read more on Last.fm</a>","['Jeru the Damaja', 'Big L', 'Mobb Deep', 'Pete Rock & C.L. Smooth']"
748,Culture Clan,86,596," <a href=""https://www.last.fm/music/Culture+Clan"">Read more on Last.fm</a>","['Red Boy', 'Tommy Real', 'big dario', 'Tony Bull']"
749,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
750,A BOOGIE WIT DA HOODIE,1111942,73296334,"Artist Julius Dubose (born December 6, 1995), known professionally as A Boogie wit da Hoodie, is an American rapper, and singer-songwriter. He released his debut studio album, The Bigger Artist, via Atlantic Records in 2017. Led by the Billboard Hot 100-top 20 single ""Drowning"" (featuring Kodak Black), the album was met with critical praise and peaked at number four on the Billboard 200.[2][3]

His second album, Hoodie SZN (2018), peaked atop the Billboard 200, while his third, Artist 2. <a href=""https://www.last.fm/music/A+BOOGIE+WIT+DA+HOODIE"">Read more on Last.fm</a>",[]
751,Hip Hip Thursday,10,40," <a href=""https://www.last.fm/music/Hip+Hip+Thursday"">Read more on Last.fm</a>",[]
752,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
753,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
754,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
755,Hendersin,28181,379997,"Never falling victim to classification, Hendersin aims to promote positivity and pleasure.  Let’s take a look at the current state of the music industry.

Decreasing attention spans and increasing online media usage have created a new genre of artist deemed ""college rap.""  The name springs from the overwhelming number of creative students who have been able to leverage their music through social media and on-campus groups.  This new wave of artist <a href=""https://www.last.fm/music/Hendersin"">Read more on Last.fm</a>","['Ivan B', 'YONAS', 'Luke Christopher', 'Witt Lowry']"
756,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
757,Joey Cool,6619,94071," <a href=""https://www.last.fm/music/Joey+Cool"">Read more on Last.fm</a>","['UBI', 'Maez301', 'Godemis', 'Bernz']"
758,Lental,976,1919," <a href=""https://www.last.fm/music/Lental"">Read more on Last.fm</a>","['Dustin Warbear', 'Kvng Moses', 'Jehry Robinson', 'Statik G']"
759,Lum,21029,87798,"There are 3 bands with the name Lum.

1. LUM is the solo project of Liam Sanagan, singer-songwriter from southern Ontario who has long had a keen interest in electronic music and experimenting with production techniques. LUM is influenced heavily by this attempt to marry the production values of EDM and Hip Hop with a more traditional song-writing aesthetic usually attributed to Folk music. Liam is also part of the band First Rate People, as well as runs bedroomer. <a href=""https://www.last.fm/music/Lum"">Read more on Last.fm</a>","['Coss', 'Базар', 'Odezenne', 'LEX AMOR']"
760,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
761,ForsakenHydra,2304,8348," <a href=""https://www.last.fm/music/ForsakenHydra"">Read more on Last.fm</a>","['Kaa$h Ki', 'Prin$e Alexander', 'Sad Angel', 'Ozito']"
762,Acclimate Hip Hop,76,238," <a href=""https://www.last.fm/music/Acclimate+Hip+Hop"">Read more on Last.fm</a>",['Victor Perry']
763,Cardi B,1837477,55313435,"Belcalis Marlenis Almánzar (born October 11, 1992), known professionally as Cardi B, is an American rapper and songwriter. Born and raised in New York City, she became an Internet celebrity by achieving popularity on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York, which depicted her pursuit of her music aspirations. She released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2, before signing with label Atlantic Records in early 2017. <a href=""https://www.last.fm/music/Cardi+B"">Read more on Last.fm</a>","['Latto', 'Megan Thee Stallion', 'GloRilla', 'Saweetie']"
764,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
765,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
766,Saweetie,963448,16461879,"Diamonté Quiava Valentin Harper, known professionally as Saweetie, is an American rapper. After the release of her debut single ""Icy Grl"" in 2018, she was signed to her then-manager Max Gousse's record label Artistry Worldwide, a subsidiary of Warner Records.

Saweetie released her debut EP, High Maintenance, in 2018. Her second EP, Icy, was released in March 2019 and spawned the top-40 single ""My Type"".

In 2021, she received two nominations for the 64th Annual Grammy Awards including one for Best New Artist. <a href=""https://www.last.fm/music/Saweetie"">Read more on Last.fm</a>","['City Girls', 'Latto', 'Kash Doll', 'Rubi Rose']"
767,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
768,Gus Dapperton,531447,11281740,"
Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>","['Dayglow', 'Hippo Campus', 'BENEE', 'Still Woozy']"
769,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
